run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-9-20230611-18:22:36-11360,runattr,,,configname,General,,
General-9-20230611-18:22:36-11360,runattr,,,datetime,20230611-18:22:36,,
General-9-20230611-18:22:36-11360,runattr,,,datetimef,20230611-182236,,
General-9-20230611-18:22:36-11360,runattr,,,experiment,General,,
General-9-20230611-18:22:36-11360,runattr,,,inifile,HeavyTrafficLimits_lambda_1.2-switchProb_0.2-serviceTime_exponential(0.25s).ini,,
General-9-20230611-18:22:36-11360,runattr,,,iterationvars,,,
General-9-20230611-18:22:36-11360,runattr,,,iterationvarsd,,,
General-9-20230611-18:22:36-11360,runattr,,,iterationvarsf,,,
General-9-20230611-18:22:36-11360,runattr,,,measurement,,,
General-9-20230611-18:22:36-11360,runattr,,,network,HeavyTrafficLimits,,
General-9-20230611-18:22:36-11360,runattr,,,processid,11360,,
General-9-20230611-18:22:36-11360,runattr,,,repetition,9,,
General-9-20230611-18:22:36-11360,runattr,,,replication,rep9,,
General-9-20230611-18:22:36-11360,runattr,,,resultdir,results/lambda_1.2-switchProb_0.2-serviceTime_exponential(0.25s),,
General-9-20230611-18:22:36-11360,runattr,,,runnumber,9,,
General-9-20230611-18:22:36-11360,runattr,,,seedset,9,,
General-9-20230611-18:22:36-11360,config,,,network,HeavyTrafficLimits,,
General-9-20230611-18:22:36-11360,config,,,sim-time-limit,100000s,,
General-9-20230611-18:22:36-11360,config,,,repeat,20,,
General-9-20230611-18:22:36-11360,config,,,replication-label,rep9,,
General-9-20230611-18:22:36-11360,config,,,result-dir,results/lambda_1.2-switchProb_0.2-serviceTime_exponential(0.25s),,
General-9-20230611-18:22:36-11360,config,,,warmup-period,30000s,,
General-9-20230611-18:22:36-11360,config,,,**.source.lambda,1.2,,
General-9-20230611-18:22:36-11360,config,,,**.router.switchProbability,0.2,,
General-9-20230611-18:22:36-11360,config,,,**.server1.serviceTime,exponential(0.25s),,
General-9-20230611-18:22:36-11360,config,,,**.server2.serviceTime,exponential(0.25s),,
General-9-20230611-18:22:36-11360,config,,,**.server3.serviceTime,exponential(0.25s),,
General-9-20230611-18:22:36-11360,config,,,**.server1.crashTime,500,,
General-9-20230611-18:22:36-11360,config,,,**.server2.crashTime,750,,
General-9-20230611-18:22:36-11360,config,,,**.server3.crashTime,1000,,
General-9-20230611-18:22:36-11360,config,,,**.server1.queueLength.record,true,,
General-9-20230611-18:22:36-11360,config,,,**.server1.serviceTime.record,true,,
General-9-20230611-18:22:36-11360,config,,,**.server2.serviceTime.record,true,,
General-9-20230611-18:22:36-11360,config,,,**.server3.serviceTime.record,true,,
