run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-9-20230611-23:53:17-36740,runattr,,,configname,General,,
General-9-20230611-23:53:17-36740,runattr,,,datetime,20230611-23:53:17,,
General-9-20230611-23:53:17-36740,runattr,,,datetimef,20230611-235317,,
General-9-20230611-23:53:17-36740,runattr,,,experiment,General,,
General-9-20230611-23:53:17-36740,runattr,,,inifile,"HeavyTrafficLimits_lambda_2.0-switchProb_0.8-serviceTime_uniform(1s,6s).ini",,
General-9-20230611-23:53:17-36740,runattr,,,iterationvars,,,
General-9-20230611-23:53:17-36740,runattr,,,iterationvarsd,,,
General-9-20230611-23:53:17-36740,runattr,,,iterationvarsf,,,
General-9-20230611-23:53:17-36740,runattr,,,measurement,,,
General-9-20230611-23:53:17-36740,runattr,,,network,HeavyTrafficLimits,,
General-9-20230611-23:53:17-36740,runattr,,,processid,36740,,
General-9-20230611-23:53:17-36740,runattr,,,repetition,9,,
General-9-20230611-23:53:17-36740,runattr,,,replication,rep9,,
General-9-20230611-23:53:17-36740,runattr,,,resultdir,"results/lambda_2.0-switchProb_0.8-serviceTime_uniform(1s,6s)",,
General-9-20230611-23:53:17-36740,runattr,,,runnumber,9,,
General-9-20230611-23:53:17-36740,runattr,,,seedset,9,,
General-9-20230611-23:53:17-36740,config,,,network,HeavyTrafficLimits,,
General-9-20230611-23:53:17-36740,config,,,sim-time-limit,100000s,,
General-9-20230611-23:53:17-36740,config,,,repeat,20,,
General-9-20230611-23:53:17-36740,config,,,replication-label,rep9,,
General-9-20230611-23:53:17-36740,config,,,result-dir,"results/lambda_2.0-switchProb_0.8-serviceTime_uniform(1s,6s)",,
General-9-20230611-23:53:17-36740,config,,,warmup-period,30000s,,
General-9-20230611-23:53:17-36740,config,,,**.source.lambda,2.0,,
General-9-20230611-23:53:17-36740,config,,,**.router.switchProbability,0.8,,
General-9-20230611-23:53:17-36740,config,,,**.server1.serviceTime,"uniform(1s,6s)",,
General-9-20230611-23:53:17-36740,config,,,**.server2.serviceTime,"uniform(1s,6s)",,
General-9-20230611-23:53:17-36740,config,,,**.server3.serviceTime,"uniform(1s,6s)",,
General-9-20230611-23:53:17-36740,config,,,**.server1.crashTime,500,,
General-9-20230611-23:53:17-36740,config,,,**.server2.crashTime,750,,
General-9-20230611-23:53:17-36740,config,,,**.server3.crashTime,1000,,
General-9-20230611-23:53:17-36740,config,,,**.server1.queueLength.record,true,,
General-9-20230611-23:53:17-36740,config,,,**.server1.serviceTime.record,true,,
General-9-20230611-23:53:17-36740,config,,,**.server2.serviceTime.record,true,,
General-9-20230611-23:53:17-36740,config,,,**.server3.serviceTime.record,true,,
